"question","support","race_white","age","high.income","trump_approve","party","treat","weight"
"Immigration",NA,1,38,1,1,"democrat","control",1.00916434968175
"Health_Care",1,1,29,NA,1,"democrat","control",1.05706214847115
"Planned_Parenthood",0,1,27,0,5,"independent","control",1.00808902650541
"Abortion",1,1,52,0,4,"independent","libtrump",1.06928983036801
"Climate_Change",1,1,19,NA,2,"independent","control",0.885902935083795
"Tax_Increase",1,1,21,1,1,"democrat","control",0.982896916295371
"Immigration",0,1,64,0,5,"republican","control",1.00817870624887
"Health_Care",1,1,31,0,2,"republican","control",1.08470314138323
"Immigration",0,1,69,NA,4,"republican","control",0.954511530805025
"Immigration",NA,1,45,0,2,"republican","control",0.97714617127371
"Minimum_Wage",1,1,60,0,3,"independent","control",1.0395025073693
"Climate_Change",1,0,67,0,1,"democrat","control",1.01001799863977
"Health_Care",1,1,33,0,1,"democrat","libtrump",0.992707482772005
"Tax_Increase",1,1,33,0,4,"independent","libtrump",0.944046692963731
"School_Guns",NA,1,61,0,3,"republican","control",0.952705930497004
"Tax_Increase",NA,1,40,0,4,"republican","control",0.910429724089052
"Guns_Background",0,1,36,1,4,"republican","control",1.16249665099289
"Guns_Background",1,0,28,0,1,"democrat","control",1.0055941901663
"Iran_Agreement",1,0,35,0,1,"democrat","control",0.974611990623045
"Tax_Increase",0,0,70,0,5,"independent","control",0.958550607177473
"Health_Care",1,1,63,0,1,"democrat","control",1.0856448631145
"Tax_Increase",1,1,27,0,1,"democrat","libtrump",0.95951517937411
"School_Guns",1,0,28,0,2,"democrat","control",1.03906794982142
"Immigration",0,1,69,NA,4,"republican","control",0.966115119978285
"Climate_Change",1,1,52,0,4,"independent","control",0.98638614339806
"Health_Care",1,0,25,0,2,"independent","control",1.03654972621644
"Climate_Change",1,0,54,0,1,"democrat","control",0.971463087801134
"Minimum_Wage",1,1,31,1,5,"republican","control",1.01457597651913
"Health_Care",1,1,60,1,1,"democrat","control",0.930405169428277
"Health_Care",0,1,80,0,3,"independent","control",1.021864301983
"Tax_Increase",1,1,57,0,1,"democrat","control",0.988931445521509
"Tax_Increase",1,1,44,0,5,"republican","control",0.935112037677968
"Tax_Increase",1,1,47,0,2,"democrat","control",1.01701294363604
"Planned_Parenthood",1,1,43,0,5,"independent","control",0.951585845354261
"Guns_Background",1,0,63,0,2,"democrat","libtrump",1.01639808961084
"School_Guns",NA,1,43,1,5,"republican","libtrump",0.976050342728489
"Guns_Background",1,1,33,0,1,"democrat","libtrump",0.900445825973499
"Tax_Increase",0,1,20,1,4,"republican","control",0.974875653199041
"Health_Care",1,0,58,NA,1,"democrat","control",1.01628157305494
"Iran_Agreement",1,1,83,1,5,"republican","control",1.03149850691552
"Minimum_Wage",1,0,50,0,2,"independent","control",1.06807154095345
"Guns_Background",1,1,24,0,1,"democrat","control",1.08810553827212
"Immigration",0,1,72,0,5,"republican","control",0.965956675685337
"Iran_Agreement",1,1,33,0,4,"republican","libtrump",0.968316668617042
"Minimum_Wage",1,1,62,0,1,"democrat","control",0.976706646755743
"Guns_Background",1,1,27,0,3,"republican","libtrump",0.960763725267592
"Immigration",0,0,67,0,1,"democrat","libtrump",1.01627751667659
"Abortion",0,0,36,0,2,"independent","control",0.88648241399568
"Guns_Background",1,1,38,1,NA,"republican","control",0.943320142931072
"Guns_Background",1,1,29,0,1,"democrat","control",1.06759210643492
"School_Guns",0,1,21,0,1,"democrat","control",0.919679200745723
"Minimum_Wage",0,0,43,0,4,"independent","control",0.868254696001275
"Tax_Increase",0,1,76,0,3,"republican","control",0.916619863592837
"Guns_Background",1,1,34,0,1,"democrat","control",0.932564031359857
"Abortion",1,0,60,1,1,"democrat","control",1.00487983208099
"Abortion",1,1,61,0,4,"republican","control",1.03399920069224
"Climate_Change",0,1,79,NA,5,"republican","libtrump",1.01110001738461
"Planned_Parenthood",1,1,41,0,5,"republican","libtrump",0.998460312109748
"Immigration",1,1,48,1,1,"independent","control",0.978128774940756
"Climate_Change",0,0,25,0,4,"democrat","control",0.985718271321549
"Health_Care",1,1,63,0,1,"democrat","control",1.04649415511161
"Planned_Parenthood",1,0,34,0,5,"republican","control",1.02017283526652
"Planned_Parenthood",NA,0,22,0,3,"republican","control",0.964115034285483
"Minimum_Wage",1,1,37,0,1,"independent","control",0.926780015991503
"Planned_Parenthood",0,0,58,1,3,"democrat","control",1.00393432702691
"Planned_Parenthood",NA,1,60,0,1,"republican","control",0.993358797880799
"Abortion",1,1,50,0,1,"democrat","control",1.06886086953231
"Climate_Change",1,1,57,0,4,"democrat","control",1.0040527674545
"Climate_Change",0,1,75,0,5,"republican","control",0.953373363688112
"Planned_Parenthood",0,1,66,1,5,"republican","control",0.967197514175394
"Planned_Parenthood",1,1,58,NA,1,"democrat","control",1.02724955247143
"Minimum_Wage",NA,1,37,NA,4,"republican","libtrump",1.01707734203477
"Tax_Increase",NA,1,27,NA,NA,"independent","control",1.02063461700977
"Health_Care",0,1,20,1,1,"independent","control",1.00820086075253
"Tax_Increase",1,1,62,1,1,"democrat","control",0.931588938466332
"Climate_Change",1,0,46,NA,1,"democrat","control",1.00214615230232
"Climate_Change",0,1,51,0,NA,"republican","control",1.01199160008084
"Iran_Agreement",0,0,42,0,1,"democrat","libtrump",0.945315466780367
"Iran_Agreement",1,1,62,0,1,"democrat","libtrump",0.976413928771375
"School_Guns",1,1,27,1,4,"democrat","control",0.88919800701437
"Health_Care",1,1,31,0,NA,"independent","control",0.999450916081116
"Climate_Change",1,1,28,0,1,"democrat","control",1.06173007296225
"Climate_Change",0,1,63,1,5,"republican","control",1.03835265922666
"Climate_Change",1,1,41,0,4,"republican","libtrump",1.10192829168992
"Abortion",0,0,23,0,3,"democrat","libtrump",1.04837102036102
"Tax_Increase",1,0,42,0,1,"democrat","libtrump",0.993860643900814
"Immigration",0,1,38,0,5,"republican","libtrump",1.01925097746537
"Minimum_Wage",0,1,74,1,5,"independent","control",1.12028935392129
"Planned_Parenthood",1,0,64,0,1,"democrat","control",0.991749002722209
"Planned_Parenthood",NA,1,50,0,3,"republican","control",0.962974964992375
"Health_Care",1,0,51,NA,3,"independent","libtrump",1.06489041503409
"Guns_Background",1,1,60,0,1,"republican","control",1.07187515511138
"Iran_Agreement",1,0,30,0,5,"democrat","control",0.907995723275125
"Minimum_Wage",0,1,56,NA,NA,"republican","control",0.974054714906128
"School_Guns",1,0,68,0,1,"democrat","control",1.01850072661092
"Minimum_Wage",0,1,40,0,NA,"independent","control",0.984162427402461
"Guns_Background",1,1,26,0,2,"democrat","control",0.973069320163523
"Guns_Background",1,0,44,0,1,"democrat","control",0.968637309371097
"Iran_Agreement",1,1,27,0,1,"democrat","control",1.01972112131814
"Iran_Agreement",1,1,37,0,1,"independent","control",1.01570212850739
"School_Guns",NA,0,57,0,1,"democrat","libtrump",1.04335944201014
"Planned_Parenthood",NA,1,46,0,1,"democrat","control",1.02260174784807
"Health_Care",1,1,43,0,5,"independent","control",0.998342966851659
"Health_Care",1,0,27,NA,1,"democrat","control",1.01353534934068
"School_Guns",NA,1,60,0,4,"democrat","libtrump",1.00964490925473
"Climate_Change",1,1,42,NA,1,"democrat","libtrump",1.01329920915206
"Iran_Agreement",NA,0,73,0,1,"democrat","libtrump",0.971974604766833
"School_Guns",1,1,31,0,1,"democrat","control",1.10340931217203
"Tax_Increase",1,1,69,0,1,"independent","control",1.0464513164871
"School_Guns",0,1,69,NA,4,"republican","control",0.980086094642124
"Health_Care",1,1,55,0,1,"democrat","control",1.00675477339191
"Climate_Change",0,1,75,0,5,"republican","control",0.926815225970604
"Minimum_Wage",1,1,33,0,4,"independent","libtrump",1.0107371518877
"School_Guns",1,0,36,NA,NA,"independent","control",1.02108746425995
"Immigration",0,1,70,0,5,"republican","control",0.997342274261216
"Immigration",0,1,82,0,5,"republican","control",1.02623863813931
"School_Guns",1,1,60,0,4,"republican","control",0.962302716421408
"Iran_Agreement",1,1,46,0,1,"democrat","control",0.979108346841448
"Climate_Change",0,1,63,0,5,"republican","libtrump",1.00036816496126
"Planned_Parenthood",1,0,30,0,1,"independent","control",0.953181435108777
"Immigration",0,1,75,0,4,"republican","control",0.949328458546012
"School_Guns",1,0,30,0,1,"independent","control",0.895460826960276
"Planned_Parenthood",0,1,68,0,4,"republican","control",0.96811085054581
"Guns_Background",1,1,27,0,4,"independent","control",0.989213160785554
"Iran_Agreement",1,0,34,0,2,"democrat","control",1.06187555655042
"School_Guns",NA,1,31,0,2,"republican","control",0.942449384993569
"Guns_Background",1,1,54,0,5,"republican","control",0.992493926354912
"Minimum_Wage",1,1,27,NA,1,"democrat","control",0.979649516637582
"Minimum_Wage",1,1,42,0,1,"independent","control",0.961314263004144
"Guns_Background",1,1,41,0,2,"democrat","libtrump",0.989999131939155
"Health_Care",0,1,45,0,5,"republican","control",1.00674866043718
"Immigration",1,1,79,0,5,"republican","libtrump",0.95356843419426
"Guns_Background",1,0,51,0,3,"republican","control",0.967138342836749
"Iran_Agreement",1,1,53,0,1,"democrat","control",0.954323925330044
"School_Guns",1,0,19,NA,1,"democrat","control",0.917455100249211
"Climate_Change",0,1,53,0,3,"republican","control",1.03685964235272
"Immigration",1,0,49,NA,1,"democrat","control",1.00500797664869
"Iran_Agreement",0,0,70,0,5,"independent","control",1.03771197108704
"Health_Care",1,1,66,0,1,"independent","control",0.995122670574502
"Abortion",NA,1,38,1,NA,"republican","control",1.01899764068808
"Planned_Parenthood",NA,0,23,0,3,"democrat","control",0.987592474769699
"Iran_Agreement",1,1,38,1,1,"democrat","control",1.03896669858759
"Health_Care",1,1,28,0,4,"independent","control",1.03675834335152
"Planned_Parenthood",1,0,23,0,3,"democrat","libtrump",0.990357988460308
"Guns_Background",1,1,27,0,2,"independent","libtrump",0.937074757482485
"Tax_Increase",1,1,20,0,1,"democrat","control",1.01804326058182
"Immigration",NA,0,71,0,4,"democrat","libtrump",1.06483953960539
"School_Guns",1,1,52,0,1,"democrat","control",1.02137223635804
"Tax_Increase",NA,1,67,0,NA,"independent","control",0.931864906125513
"Abortion",1,1,56,0,3,"republican","libtrump",0.982315471077811
"Minimum_Wage",NA,1,59,0,5,"republican","control",0.950079195741038
"Immigration",0,1,59,1,5,"republican","libtrump",0.915235885474737
"Guns_Background",1,1,63,0,3,"democrat","control",0.941955124794245
"Climate_Change",0,1,82,1,4,"republican","control",0.995991831215778
"Climate_Change",1,1,42,0,1,"democrat","control",1.01527951676297
"Iran_Agreement",1,1,25,0,NA,"democrat","libtrump",0.974371725662848
"Abortion",0,1,75,0,5,"republican","control",0.879810798544849
"Abortion",1,1,43,1,5,"republican","libtrump",0.975359897694465
"Climate_Change",1,0,68,0,1,"democrat","control",1.00707710265198
"Tax_Increase",0,1,69,NA,4,"independent","control",1.02708397645579
"Iran_Agreement",1,0,30,1,4,"independent","control",1.02840798998914
"Immigration",1,1,38,1,1,"democrat","libtrump",1.07294717257618
"School_Guns",1,1,29,0,5,"republican","control",1.03387640266705
"Iran_Agreement",1,1,31,1,1,"democrat","control",0.977498942491302
"Minimum_Wage",0,1,53,0,5,"republican","control",0.961669678223332
"Climate_Change",NA,1,27,0,2,"republican","control",0.96054769012637
"Tax_Increase",0,1,76,0,5,"republican","control",1.10838070758361
"Immigration",1,1,24,NA,1,"democrat","control",0.979122369073746
"Minimum_Wage",1,0,27,0,1,"independent","control",1.0787450573008
"Guns_Background",NA,1,21,0,1,"democrat","control",0.962670121082207
"Planned_Parenthood",NA,1,21,1,1,"democrat","control",0.961876482954371
"Minimum_Wage",1,0,53,0,1,"democrat","control",0.982162746133076
"Health_Care",NA,1,59,0,3,"independent","libtrump",0.918500061575269
"Abortion",NA,1,27,0,4,"democrat","libtrump",0.996040782926515
"Guns_Background",NA,1,64,0,5,"republican","control",0.909453872285272
"Iran_Agreement",1,1,68,0,2,"democrat","libtrump",0.921742669172197
"Tax_Increase",1,0,33,0,4,"democrat","control",0.985994182612474
"School_Guns",1,1,61,0,1,"democrat","control",1.02883825103024
"Tax_Increase",0,0,28,0,1,"democrat","control",0.945005092744824
"Climate_Change",0,1,58,1,4,"republican","libtrump",1.00037711580555
"Planned_Parenthood",1,0,19,0,1,"independent","libtrump",1.05075568563496
"Tax_Increase",1,1,24,0,1,"democrat","control",0.992489374409215
"Health_Care",1,0,42,0,1,"democrat","libtrump",1.037378485619
"Minimum_Wage",1,1,38,0,1,"independent","control",1.11979703027665
"Tax_Increase",1,1,40,0,3,"republican","libtrump",1.02896092288587
"Guns_Background",1,1,34,0,1,"democrat","control",1.0079053070431
"Health_Care",NA,0,63,0,2,"democrat","libtrump",1.03892233387381
"Planned_Parenthood",0,0,60,0,5,"republican","control",0.918629600735955
"School_Guns",NA,0,23,0,3,"democrat","control",0.930523932125013
"School_Guns",0,1,42,1,5,"republican","control",0.989789230899021
"Health_Care",0,1,53,0,3,"republican","control",0.991997212397372
"Immigration",0,1,30,NA,3,"republican","control",0.939612778282752
"Planned_Parenthood",1,1,33,0,4,"republican","libtrump",1.01690068250421
"Health_Care",1,1,53,0,1,"democrat","control",1.00605916783485
"Planned_Parenthood",1,1,45,0,2,"republican","control",0.995782625888761
"Abortion",1,1,69,0,1,"democrat","control",1.02673844540065
"Minimum_Wage",1,0,47,1,1,"independent","control",1.0100452839901
"Iran_Agreement",1,1,49,0,3,"republican","control",1.10409954639909
"Immigration",0,1,37,1,1,"republican","control",1.0305174327457
"Planned_Parenthood",0,1,58,1,4,"republican","libtrump",1.02141546352372
"Immigration",1,1,61,NA,3,"independent","libtrump",1.06392998739139
"Minimum_Wage",1,1,31,0,3,"republican","control",1.07769608445646
"School_Guns",0,0,50,0,2,"independent","control",1.03620393668746
"School_Guns",1,1,34,0,1,"republican","control",0.958318174640602
"Planned_Parenthood",1,1,68,0,2,"democrat","libtrump",1.03973961223272
"School_Guns",NA,1,53,0,3,"republican","control",1.06064208978427
"Planned_Parenthood",1,0,42,0,1,"democrat","control",1.02866403995748
"Minimum_Wage",NA,0,28,0,1,"democrat","control",0.956711397145375
"Climate_Change",NA,0,35,0,1,"democrat","control",0.96136154070971
"Abortion",NA,1,56,NA,4,"republican","libtrump",0.990568744353564
"School_Guns",0,1,24,0,NA,"independent","control",0.960435767526639
"Iran_Agreement",0,0,77,0,5,"republican","control",1.03633128032198
"Health_Care",NA,0,28,0,4,"democrat","control",1.07370045485316
"Climate_Change",1,1,37,0,1,"independent","control",1.02891167456478
"Minimum_Wage",1,1,70,0,4,"republican","libtrump",1.04928972257883
"School_Guns",NA,1,68,0,5,"democrat","control",1.01532315424116
"School_Guns",1,1,55,0,4,"independent","control",0.967515230792254
"School_Guns",0,0,27,NA,4,"independent","libtrump",0.98594347067642
"Planned_Parenthood",0,1,60,0,3,"republican","control",1.03685590482581
"Climate_Change",1,1,20,1,4,"republican","control",0.991945571225978
"Tax_Increase",0,0,34,0,5,"republican","control",1.1111465236891
"School_Guns",1,1,61,1,1,"democrat","control",0.964978519667817
"Immigration",1,1,62,1,1,"democrat","control",1.01011236005509
"Abortion",1,0,47,1,1,"independent","control",1.01488624385606
"Minimum_Wage",1,1,29,0,1,"democrat","control",0.902500316731165
"Health_Care",1,0,64,0,1,"democrat","control",0.904922546682069
"Health_Care",0,1,39,0,3,"independent","control",0.948247734639166
"School_Guns",0,1,43,0,4,"democrat","control",1.01296647067922
"Tax_Increase",1,1,60,0,4,"republican","control",1.00938595076372
"Tax_Increase",1,0,24,0,1,"democrat","control",1.11195679596634
"Immigration",0,1,73,NA,5,"republican","control",0.940850458472423
"Health_Care",1,1,67,0,1,"democrat","libtrump",0.98352923446472
"Guns_Background",1,1,61,1,4,"republican","control",1.14360789874909
"Minimum_Wage",1,0,36,0,1,"democrat","control",0.956348879269359
"Tax_Increase",1,1,32,1,1,"democrat","control",1.02797974927258
"Immigration",1,0,68,0,1,"democrat","control",0.99167736673864
"Climate_Change",1,1,48,0,1,"independent","libtrump",0.993039518795776
"Abortion",1,0,24,0,1,"democrat","control",1.01009600694864
"Iran_Agreement",NA,1,34,NA,4,"republican","libtrump",1.02344649701025
"Immigration",0,1,46,0,5,"republican","control",0.962405476372004
"Planned_Parenthood",NA,1,41,0,4,"republican","control",1.01092397363563
"School_Guns",1,1,28,0,3,"independent","control",1.07487351773792
"Immigration",1,0,35,0,1,"democrat","control",0.964054862313109
"Immigration",1,0,47,0,5,"republican","control",1.0061575150928
"School_Guns",1,1,26,0,3,"republican","libtrump",1.04087617806696
"Minimum_Wage",NA,1,71,NA,5,"independent","control",1.05032474414381
"Iran_Agreement",NA,1,41,0,1,"independent","control",1.02383350565166
"Immigration",1,0,64,0,1,"democrat","control",0.986781704807512
"Iran_Agreement",NA,1,64,1,4,"republican","libtrump",0.950943089335455
"Immigration",1,1,29,0,1,"democrat","control",1.00598366741187
"Tax_Increase",1,1,52,0,5,"republican","control",1.06413062272038
"Iran_Agreement",NA,1,19,1,1,"democrat","libtrump",1.01982019840177
"Climate_Change",1,0,60,1,1,"democrat","control",1.04445218941948
"School_Guns",NA,1,44,0,5,"republican","control",1.00837205753324
"School_Guns",NA,0,56,0,5,"independent","libtrump",0.920129072125717
"Iran_Agreement",NA,0,57,0,1,"democrat","libtrump",1.01764826412764
"Planned_Parenthood",1,1,36,0,NA,"republican","control",1.10514814835878
"Guns_Background",1,1,47,1,4,"republican","libtrump",0.934876734920669
"Planned_Parenthood",0,1,58,0,5,"republican","control",0.998072073405911
"Immigration",0,1,63,0,5,"republican","control",1.00961382373598
"Iran_Agreement",NA,1,21,1,1,"democrat","control",0.959446911097472
"Minimum_Wage",1,1,40,0,4,"republican","libtrump",1.06160233095483
"Minimum_Wage",0,1,30,NA,3,"republican","control",0.836638795350976
"Minimum_Wage",0,1,21,1,4,"republican","libtrump",1.04471329122625
"Iran_Agreement",1,1,58,1,4,"republican","libtrump",0.98729757906318
"Tax_Increase",1,1,33,0,4,"republican","libtrump",1.01111347377675
"Iran_Agreement",1,0,25,1,1,"democrat","control",1.02963651072449
"Climate_Change",0,1,70,0,5,"republican","control",0.915212125809101
"School_Guns",1,1,31,0,1,"democrat","libtrump",0.965659793575078
"Tax_Increase",1,1,71,0,1,"independent","control",0.946957384940339
"Immigration",1,1,39,0,2,"independent","control",0.998075069770718
"Health_Care",1,1,64,1,1,"democrat","control",1.0425577354896
"Climate_Change",1,1,32,1,1,"democrat","control",0.984010388794161
"Planned_Parenthood",0,1,51,0,4,"republican","control",1.04836355151619
"Climate_Change",1,1,28,0,4,"independent","control",1.07568223317193
"Climate_Change",1,0,64,0,1,"democrat","control",1.04468349881737
"Iran_Agreement",1,1,29,0,5,"republican","libtrump",1.03632360473222
"Climate_Change",0,0,63,0,2,"independent","libtrump",1.05022388777524
"Abortion",0,1,41,0,5,"republican","libtrump",0.951837492850448
"Planned_Parenthood",1,1,31,1,1,"democrat","control",1.03115927879042
"Immigration",1,1,47,0,3,"democrat","libtrump",0.976919606890098
"Iran_Agreement",NA,1,51,0,1,"republican","control",0.96561386775673
"Health_Care",0,1,82,1,4,"republican","control",1.00277974895637
"Planned_Parenthood",NA,1,52,0,4,"independent","control",1.03749217397139
"Climate_Change",0,1,56,1,5,"republican","libtrump",0.966853002522908
"Tax_Increase",1,1,64,0,5,"republican","libtrump",1.03222850381032
"Immigration",1,0,64,1,5,"democrat","control",1.02063253139123
"Planned_Parenthood",NA,1,43,0,1,"independent","libtrump",0.983683698955267
"Iran_Agreement",1,1,43,0,4,"democrat","control",0.981868837368741
"Health_Care",1,1,60,0,5,"republican","control",0.945353498013252
"Tax_Increase",1,1,38,0,1,"independent","control",0.958675485826946
"Immigration",0,1,66,1,5,"republican","control",0.935001777885963
"Guns_Background",1,1,44,0,5,"republican","control",1.00709341925145
"School_Guns",0,1,30,0,5,"republican","control",0.992414317946138
"Iran_Agreement",1,1,60,0,5,"independent","control",1.05776315417581
"Guns_Background",1,0,34,NA,4,"independent","control",0.973125899640841
"Tax_Increase",1,1,58,1,5,"republican","libtrump",1.00711613160627
"Guns_Background",1,1,59,0,3,"republican","control",0.94026013563597
"Abortion",1,1,60,NA,1,"democrat","libtrump",1.0199801863932
"Tax_Increase",1,1,43,0,5,"independent","control",1.08729272397772
"Health_Care",1,1,73,1,5,"republican","control",1.06937964541611
"Abortion",NA,1,79,0,5,"republican","libtrump",0.981235667343727
"Guns_Background",1,1,28,0,3,"independent","control",0.993399896846107
"Minimum_Wage",0,1,26,0,2,"democrat","control",1.06019951546077
"Health_Care",1,1,76,0,3,"independent","control",0.981178313938167
"Climate_Change",1,1,50,1,4,"independent","control",0.980467756847329
"Health_Care",1,0,68,0,1,"democrat","control",1.02863405419791
"School_Guns",1,0,53,0,1,"democrat","control",1.0213162374039
"Climate_Change",1,0,73,0,1,"democrat","libtrump",1.07123489959955
"Health_Care",NA,1,23,0,2,"independent","control",1.06887459472738
"Climate_Change",NA,1,22,0,2,"democrat","control",1.03113886989572
"Guns_Background",1,1,42,0,1,"democrat","control",1.00311160189227
"Immigration",0,1,50,0,3,"republican","control",1.01309724798714
"Tax_Increase",NA,0,42,0,NA,"independent","control",0.956719816358786
"Planned_Parenthood",NA,0,39,NA,2,"democrat","control",0.942252697246232
"Health_Care",NA,1,59,0,5,"democrat","control",0.953965058614513
"School_Guns",0,0,20,0,3,"independent","control",1.07034075576781
"School_Guns",0,0,60,0,5,"republican","control",0.992874499785402
"Immigration",0,1,27,1,4,"democrat","control",0.950721841432018
"Immigration",1,1,41,0,1,"democrat","control",1.04788210847679
"Iran_Agreement",1,0,22,0,1,"republican","control",1.01750072813685
"Iran_Agreement",1,0,23,0,3,"democrat","libtrump",1.03171789550414
"Tax_Increase",1,1,50,0,1,"democrat","control",0.999619377545877
"Guns_Background",1,1,47,0,3,"independent","libtrump",1.07292672326638
"Iran_Agreement",1,1,56,NA,4,"republican","libtrump",1.04881199492481
"Health_Care",1,1,61,NA,4,"independent","control",1.01056450452528
"Health_Care",0,1,61,0,1,"democrat","control",1.00179543206337
"Tax_Increase",0,1,61,0,4,"republican","control",1.04212912587703
"Planned_Parenthood",0,1,63,0,5,"republican","control",1.02228935866454
