participantid,vote_prefer,treat_assign_coethnic,treat_assign_joking_cousin,actor,interviewer,female,education,vecu_ailleurs,inscrite,cousin_subject
393,3,0,0,2,4,0,1,1,1,0
394,3,0,0,1,4,0,1,1,1,0
395,6,1,0,1,4,0,1,1,1,1
396,3,0,0,1,4,1,1,1,1,0
397,7,1,1,1,4,0,1,1,0,1
398,5,0,0,2,4,0,1,1,0,0
399,7,0,1,1,4,0,0,1,1,1
400,6,1,0,1,4,0,0,1,0,1
401,5,0,0,1,4,0,1,1,0,0
402,6,1,0,1,4,1,1,1,0,0
403,7,1,1,2,4,0,1,1,0,0
404,4,0,0,1,4,0,1,1,0,0
405,3,0,0,1,4,1,1,1,0,0
406,7,0,0,2,4,1,1,1,0,0
407,4,0,0,1,4,0,1,1,1,0
408,7,0,1,1,4,0,0,1,1,1
409,6,0,1,2,4,0,1,1,0,1
410,7,0,1,1,4,0,0,1,1,1
411,4,0,0,1,4,0,1,1,1,0
412,5,1,0,1,4,0,1,1,0,0
413,6,1,0,2,4,0,1,1,1,0
414,7,0,1,2,4,1,0,1,0,1
415,4,0,0,1,2,0,0,0,1,0
416,4,0,1,2,2,0,0,0,1,1
417,4,0,1,1,2,0,1,1,1,1
418,5,0,1,1,2,1,1,1,1,1
419,2,0,1,1,2,1,1,1,1,1
420,2,0,1,1,2,0,0,0,1,0
421,4,0,1,1,2,0,1,1,1,1
422,5,0,1,1,2,0,0,1,1,1
423,4,1,0,2,2,0,0,1,1,0
424,5,0,1,1,2,0,0,1,1,1
425,4,1,1,1,2,0,0,1,1,0
426,4,0,0,1,2,1,0,1,1,0
427,5,1,1,2,2,1,0,1,1,0
428,3,0,0,2,2,0,1,1,1,0
429,2,0,0,2,2,1,0,1,1,0
430,3,1,0,1,2,1,1,1,1,0
431,3,0,0,2,2,1,0,1,1,1
432,5,0,1,1,2,0,1,1,1,1
433,3,0,0,2,2,0,1,1,1,0
434,6,0,1,2,2,0,1,1,1,1
435,2,0,0,2,2,0,0,0,1,0
436,5,0,1,1,2,0,0,0,1,1
437,6,1,0,2,2,0,1,1,1,0
438,1,0,0,2,2,0,0,1,1,0
439,7,1,1,1,2,0,0,1,1,1
440,7,1,1,2,2,1,1,0,1,1
441,7,1,1,1,2,0,0,1,1,1
442,5,1,0,2,2,0,0,1,1,0
443,1,0,0,1,2,1,0,1,1,0
444,7,1,1,1,2,0,0,1,1,1
445,6,1,0,2,2,0,0,1,1,0
446,6,1,0,1,2,1,0,1,1,0
447,3,0,0,2,2,1,0,0,1,0
448,7,1,1,1,2,1,0,0,1,1
449,2,0,0,1,2,0,0,1,1,0
450,6,1,0,1,2,1,0,0,1,0
451,7,1,1,2,2,0,1,1,1,1
452,5,1,0,1,2,1,1,1,1,0
453,7,0,1,2,2,0,0,1,1,1
454,6,1,1,1,2,0,0,1,1,1
455,4,1,0,2,2,1,0,1,1,0
456,1,0,0,1,2,1,0,1,1,0
457,7,0,1,1,2,0,1,1,1,1
458,7,1,1,2,2,0,1,1,1,1
459,7,1,1,1,2,0,1,0,1,1
460,2,0,0,1,2,1,1,1,0,0
461,6,1,1,2,2,1,1,1,0,1
462,7,1,1,2,2,0,0,1,0,0
463,7,1,1,1,2,0,0,1,0,0
464,6,1,1,1,2,0,1,1,1,0
465,7,0,1,2,2,0,1,1,1,1
466,6,0,1,2,2,0,0,1,1,1
467,6,0,1,1,2,1,1,1,1,1
468,2,0,0,2,2,1,1,1,1,0
469,5,0,1,2,2,0,0,1,1,1
470,1,0,0,1,2,0,0,1,1,0
471,7,1,1,2,2,0,0,1,1,0
472,7,1,1,1,2,1,1,1,1,1
473,6,0,1,2,2,0,1,1,1,1
474,5,1,0,2,2,0,0,1,1,1
